Delon Wright\wrighde01,SG,28,DET,31,26,29.1,3.8,8.0,.470,1.0,2.5,.392,2.8,5.5,.506,.532,2.0,2.6,.778,1.1,3.5,4.5,4.8,1.4,0.5,1.2,1.2,10.6
Dwayne Bacon\bacondw01,SG,25,ORL,39,26,25.2,3.8,9.5,.404,1.1,3.1,.339,2.8,6.4,.435,.459,1.8,2.1,.852,0.3,2.6,2.9,1.1,0.6,0.1,0.7,1.6,10.5
Kelly Olynyk\olynyke01,C,29,MIA,38,33,27.1,3.9,8.8,.447,1.9,5.8,.338,2.0,3.0,.658,.559,0.7,0.9,.771,0.9,5.1,6.0,2.2,0.9,0.6,1.3,2.8,10.5
Cameron Johnson\johnsca02,PF,24,PHO,34,9,24.2,3.7,8.4,.437,2.1,5.7,.378,1.5,2.7,.559,.565,0.9,1.1,.865,0.6,2.8,3.4,1.4,0.6,0.3,0.8,1.4,10.4
Monte Morris\morrimo01,PG,25,DEN,36,10,27.2,4.0,8.5,.471,1.1,3.2,.351,2.9,5.3,.542,.536,1.3,1.8,.762,0.2,2.0,2.2,3.4,0.7,0.3,0.7,1.0,10.4
Mason Plumlee\plumlma01,C,30,DET,36,36,28.0,4.3,7.1,.606,0.0,0.2,.000,4.3,6.9,.621,.606,1.8,2.8,.660,2.8,6.3,9.1,3.9,0.8,0.8,2.1,3.5,10.4
Donte DiVincenzo\divindo01,SG,24,MIL,38,38,26.6,3.9,9.3,.416,1.8,4.9,.378,2.0,4.4,.458,.516,0.7,1.1,.650,1.2,3.8,5.0,2.9,1.1,0.2,1.3,1.4,10.3
Paul Millsap\millspa01,PF,35,DEN,28,27,23.8,3.8,7.3,.512,1.2,3.1,.395,2.5,4.3,.597,.595,1.5,2.3,.683,1.6,3.6,5.2,1.6,0.9,0.6,1.0,2.0,10.3
Patrick Williams\willipa01,PF,19,CHI,36,36,28.3,3.8,8.1,.473,0.9,2.3,.393,2.9,5.8,.505,.529,1.6,2.0,.781,0.9,3.8,4.7,1.3,0.8,0.7,1.5,2.3,10.2
Saddiq Bey\beysa01,SF,21,DET,36,19,23.2,3.2,8.0,.403,2.2,5.6,.388,1.1,2.4,.437,.538,1.5,1.7,.855,0.5,3.4,3.9,1.1,0.6,0.1,0.6,1.5,10.1
Jae Crowder\crowdja01,PF,30,PHO,34,19,27.4,3.4,8.4,.401,2.4,6.3,.376,1.0,2.2,.473,.540,0.9,1.0,.829,0.4,4.6,5.0,2.1,0.8,0.2,0.9,1.8,10.0
Jae'Sean Tate\tateja01,SF,25,HOU,37,25,27.6,4.0,7.6,.530,0.6,2.1,.299,3.4,5.5,.618,.571,1.2,1.7,.730,1.8,3.5,5.3,1.6,1.1,0.5,1.2,3.1,9.9
Desmond Bane\banede01,SG,22,MEM,31,9,22.9,3.6,7.5,.485,1.8,3.9,.451,1.9,3.6,.523,.603,0.8,0.9,.889,0.4,2.5,2.9,1.3,0.7,0.1,1.1,2.0,9.8
Miles Bridges\bridgmi02,PF,22,CHO,37,2,26.4,3.7,7.5,.491,1.2,3.3,.374,2.4,4.2,.584,.574,1.1,1.2,.932,1.3,4.5,5.8,2.0,0.7,0.7,1.7,2.3,9.7
Mike Muscala\muscami01,C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
Bryn Forbes\forbebr01,SG,27,MIL,38,6,18.7,3.5,7.3,.473,2.2,4.7,.461,1.3,2.7,.495,.620,0.5,0.7,.741,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.1,9.6
Eric Paschall\pascher01,PF,24,GSW,36,2,17.4,3.8,7.6,.495,0.4,1.3,.298,3.4,6.3,.535,.520,1.7,2.4,.718,0.8,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.6
Jeff Green\greenje02,C,34,BRK,35,16,26.5,3.4,6.8,.498,1.5,3.5,.418,1.9,3.3,.583,.605,1.2,1.6,.782,0.4,3.1,3.6,1.5,0.7,0.2,0.8,1.9,9.4
David Nwaba\nwabada01,SF,28,HOU,30,9,22.6,3.5,7.2,.488,0.6,2.1,.270,3.0,5.1,.578,.528,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2
Daniel Theis\theisda01,C,28,BOS,36,31,23.9,3.6,6.4,.570,0.8,2.1,.368,2.9,4.3,.669,.630,1.2,1.7,.677,1.3,3.7,4.9,1.3,0.6,1.1,1.0,2.8,9.2
Josh Hart\hartjo01,SF,25,NOP,39,3,28.4,3.2,7.1,.449,1.3,4.0,.331,1.8,3.1,.605,.543,1.4,1.9,.740,1.0,6.3,7.3,2.1,0.8,0.2,0.9,2.4,9.1
Furkan Korkmaz\korkmfu01,SG,23,PHI,28,3,19.0,3.1,7.6,.406,1.7,4.6,.375,1.4,3.0,.452,.519,1.1,1.4,.816,0.3,2.1,2.4,1.1,0.7,0.1,1.0,1.2,9.0
Nicolas Batum\batumni01,SF,32,LAC,37,37,28.8,3.1,6.5,.471,1.9,4.4,.432,1.2,2.2,.550,.616,0.8,1.0,.833,0.9,3.8,4.7,2.3,1.2,0.4,0.8,1.7,8.9
Reggie Jackson\jacksre01,SG,30,LAC,37,17,20.5,3.3,7.3,.454,1.4,3.4,.411,1.9,3.9,.490,.548,0.9,1.2,.767,0.4,2.3,2.6,2.9,0.5,0.1,1.0,1.9,8.9
Danny Green\greenda02,SF,33,PHI,39,39,28.3,3.1,7.6,.404,2.3,5.9,.384,0.8,1.7,.477,.554,0.3,0.5,.650,0.8,2.9,3.7,1.8,1.2,0.8,1.2,1.8,8.8
Reggie Bullock\bullore01,SF,29,NYK,34,34,26.4,3.1,7.7,.405,1.8,4.9,.370,1.3,2.9,.464,.521,0.6,0.8,.846,0.3,3.0,3.3,1.3,0.6,0.2,0.7,2.2,8.7
J.J. Redick\redicjj01,SG,36,NOP,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
Isaiah Roby\robyis01,PF,22,OKC,33,13,21.8,3.4,6.3,.536,0.6,1.7,.339,2.8,4.6,.609,.582,1.4,1.9,.719,1.5,3.9,5.4,1.8,0.8,0.6,1.6,2.6,8.7
